jan.kingdom_matrix.country,jan.kingdom_matrix.kingdom,jan.kingdom_matrix._c2,jan.kingdom_matrix.increase
BO,Animalia,323515,29.0
BO,Bacteria,23,35.0
BO,Chromista,12,1100.0
BO,Fungi,3109,41.0
BO,Plantae,432771,19.0
BO,Protozoa,243,20.0
BO,Viruses,1,0.0
BQ,Animalia,3055,22.0
BQ,Fungi,1,0.0
BQ,Plantae,23,64.0
BR,Animalia,1417070,56.0
BR,Archaea,103,0.0
BR,Bacteria,7047,287.0
BR,Chromista,16638,838.0
BR,Fungi,189286,1163.0
BR,Plantae,4551749,463.0
BR,Protozoa,42425,70.0
BR,Viruses,1,0.0
BS,Animalia,205871,16.0
BS,Bacteria,444,3.0
BS,Chromista,11595,0.0
BS,Fungi,169,25.0
BS,Plantae,31670,77.0
BS,Protozoa,57794,0.0
BT,Animalia,23128,69.0
BT,Bacteria,1,0.0
BT,Chromista,1,0.0
BT,Fungi,417,5.0
BT,Plantae,11171,25.0
BV,Animalia,1876,8.0
BV,Chromista,137,1.0
BV,Fungi,229,5.0
BV,Plantae,93,1.0
BV,Protozoa,4520,13.0
BW,Animalia,151926,19.0
BW,Bacteria,16,60.0
BW,Chromista,2,100.0
BW,Fungi,89,10.0
BW,Plantae,38023,3.0
BW,Protozoa,2,0.0
BY,Animalia,4672,57.0
BY,Bacteria,2,100.0
BY,Chromista,6,100.0
BY,Fungi,127,176.0
BY,Plantae,1516,19.0
BY,Protozoa,12,9.0
BZ,Animalia,332282,49.0
BZ,Bacteria,480,3.0
BZ,Chromista,920,1.0
BZ,Fungi,539,77.0
BZ,Plantae,67765,26.0
BZ,Protozoa,6338,121.0
CA,Animalia,15961847,46.0
CA,Archaea,60,0.0
CA,Bacteria,6440,31.0
CA,Chromista,72919,3.0
CA,Fungi,186599,51.0
CA,Plantae,1417331,20.0
CA,Protozoa,104172,1.0
CA,Viruses,49,123.0
CC,Animalia,3063,11.0
CC,Bacteria,1,0.0
CC,Chromista,1117,2.0
CC,Fungi,34,42.0
CC,Plantae,483,56.0
CC,Protozoa,478,0.0
CD,Animalia,356157,31.0
CD,Bacteria,40,38.0
CD,Chromista,14,0.0
CD,Fungi,917,6.0
CD,Plantae,121626,96.0
CD,Protozoa,891,99.0
CF,Animalia,27500,36.0
CF,Bacteria,6,100.0
CF,Fungi,141,19.0
CF,Plantae,21723,17.0
CG,Animalia,36853,27.0
CG,Archaea,2,0.0
CG,Bacteria,21,31.0
CG,Chromista,69,0.0
CG,Fungi,395,216.0
CG,Plantae,13989,46.0
CG,Protozoa,1348,6.0
CG,Viruses,5,0.0
CH,Animalia,1189041,7.0
CH,Archaea,4,0.0
CH,Bacteria,746,50.0
CH,Chromista,963,6.0
CH,Fungi,24130,27.0
CH,Plantae,264754,29.0
CH,Protozoa,1664,83.0
CH,Viruses,8,0.0
CI,Animalia,91549,12.0
CI,Bacteria,57,78.0
CI,Chromista,111,2.0
CI,Fungi,677,27.0
CI,Plantae,102004,68.0
CI,Protozoa,543,1.0
CK,Animalia,14758,16.0
CK,Bacteria,25,9.0
CK,Chromista,1368,0.0
CK,Fungi,1115,53.0
CK,Plantae,10942,737.0
CK,Protozoa,4026,0.0
CL,Animalia,671684,33.0
CL,Archaea,4,0.0
CL,Bacteria,42350,0.0
CL,Chromista,13093,3.0
CL,Fungi,26385,169.0
CL,Plantae,159933,25.0
CL,Protozoa,27785,3.0
CL,Viruses,3,0.0
CM,Animalia,138330,22.0
CM,Bacteria,150,72.0
CM,Chromista,31,11.0
CM,Fungi,1151,32.0
CM,Plantae,326584,30.0
CM,Protozoa,34,17.0
CN,Animalia,455810,20.0
CN,Archaea,209,186.0
CN,Bacteria,6309,228.0
CN,Chromista,53659,1022.0
CN,Fungi,12385,68.0
CN,Plantae,1056169,80.0
CN,Protozoa,2531,5.0
CN,Viruses,78,1014.0
CO,Animalia,1547771,29.0
CO,Archaea,5,0.0
CO,Bacteria,1066,625.0
CO,Chromista,3070,13.0
CO,Fungi,28372,24.0
CO,Plantae,1559511,57.0
CO,Protozoa,26835,1.0
CO,Viruses,5,0.0
CR,Animalia,4349428,11.0
CR,Bacteria,621,107.0
CR,Chromista,2969,2.0
CR,Fungi,68036,3.0
CR,Plantae,804487,4.0
CR,Protozoa,15596,0.0
CU,Animalia,283214,29.0
CU,Bacteria,280,22.0
CU,Chromista,6564,1.0
CU,Fungi,6438,62.0
CU,Plantae,154570,67.0
CU,Protozoa,20106,1.0
CV,Animalia,32511,15.0
CV,Bacteria,5370,0.0
CV,Chromista,1918,12.0
CV,Fungi,873,39.0
CV,Plantae,7202,98.0
CV,Protozoa,10904,2.0
CW,Animalia,10543,32.0
CW,Bacteria,301,0.0
CW,Chromista,22,0.0
CW,Fungi,4,0.0
CW,Plantae,1175,15.0
CX,Animalia,2346,16.0
CX,Bacteria,1,No prior occurrences
CX,Chromista,6,No prior occurrences
CX,Fungi,191,3720.0
CX,Plantae,1058,313.0
CX,Protozoa,134,37.0
CY,Animalia,16975,81.0
CY,Bacteria,310,66.0
CY,Chromista,1922,1.0
CY,Fungi,1407,7.0
CY,Plantae,10545,36.0
CY,Protozoa,9571,4.0
CZ,Animalia,123896,38.0
CZ,Bacteria,1494,6.0
CZ,Chromista,272,164.0
CZ,Fungi,11446,59.0
CZ,Plantae,44239,100.0
CZ,Protozoa,465,82.0
CZ,Viruses,146,0.0
DE,Animalia,6119899,350.0
DE,Archaea,1160,0.0
DE,Bacteria,57153,3.0
DE,Chromista,29494,8.0
DE,Fungi,262729,50.0
DE,Plantae,6090757,10.0
DE,Protozoa,50047,57.0
DE,Viruses,477,2.0
DJ,Animalia,4458,12.0
DJ,Bacteria,6,20.0
DJ,Chromista,5,67.0
DJ,Fungi,2,100.0
DJ,Plantae,466,16.0
DJ,Protozoa,3,0.0
DK,Animalia,5775011,14.0
DK,Archaea,382,5357.0
DK,Bacteria,4468,32.0
DK,Chromista,55688,1.0
DK,Fungi,594257,503.0
DK,Plantae,3026943,1.0
DK,Protozoa,59953,9.0
DK,Viruses,716,5014.0
DM,Animalia,25115,20.0
DM,Bacteria,39,44.0
DM,Chromista,174,12.0
DM,Fungi,1635,159.0
DM,Plantae,15701,34.0
DM,Protozoa,497,1.0
DO,Animalia,162479,16.0
DO,Bacteria,85,67.0
DO,Chromista,156,88.0
DO,Fungi,3673,125.0
DO,Plantae,112259,60.0
DO,Protozoa,737,73.0
DO,Viruses,1,0.0
DZ,Animalia,41606,32.0
DZ,Archaea,1,0.0
DZ,Bacteria,1121,14.0
DZ,Chromista,662,41.0
DZ,Fungi,2587,97.0
DZ,Plantae,38156,41.0
DZ,Protozoa,3224,6.0
DZ,Viruses,1,0.0
EC,Animalia,904662,32.0
EC,Bacteria,210,8.0
EC,Chromista,4156,1.0
EC,Fungi,9792,78.0
EC,Plantae,724586,17.0
EC,Protozoa,18477,35.0
EC,Viruses,1,0.0
EE,Animalia,279526,6.0
EE,Bacteria,5,0.0
EE,Chromista,20,82.0
EE,Fungi,3915,82.0
EE,Plantae,6983,61.0
EE,Protozoa,711,2.0
EE,Viruses,4,0.0
EG,Animalia,99601,30.0
EG,Archaea,17,6.0
EG,Bacteria,11586,4.0
EG,Chromista,402,74.0
EG,Fungi,4106,4.0
EG,Plantae,20643,40.0
EG,Protozoa,4735,24.0
EH,Animalia,17163,91.0
EH,Bacteria,2,0.0
EH,Chromista,3254,0.0
EH,Fungi,17,0.0
EH,Plantae,859,8.0
EH,Protozoa,34755,0.0
ER,Animalia,5528,18.0
ER,Chromista,64,No prior occurrences
ER,Fungi,191,282.0
ER,Plantae,3813,77.0
ER,Protozoa,4,300.0
ES,Animalia,3202486,71.0
ES,Archaea,31,0.0
ES,Bacteria,21642,86.0
ES,Chromista,36067,5.0
ES,Fungi,312232,6.0
ES,Plantae,6897904,6.0
ES,Protozoa,104691,5.0
ES,Viruses,23,0.0
ET,Animalia,63101,52.0
ET,Bacteria,58,9.0
ET,Chromista,76,4.0
ET,Fungi,2701,15.0
ET,Plantae,182119,34.0
ET,Protozoa,38,443.0
ET,Viruses,1,0.0
FI,Animalia,16734989,26.0
FI,Bacteria,260,38.0
FI,Chromista,1641,44.0
FI,Fungi,86608,32.0
FI,Plantae,3179189,2.0
FI,Protozoa,1282,38.0
FI,Viruses,9,0.0
FJ,Animalia,400254,4.0
FJ,Archaea,2,0.0
FJ,Bacteria,152,6.0
FJ,Chromista,1212,2.0
FJ,Fungi,1907,44.0
FJ,Plantae,45756,145.0
FJ,Protozoa,1468,27.0
FK,Animalia,16798,32.0
FK,Bacteria,2,0.0
FK,Chromista,277,152.0
FK,Fungi,4791,267.0
FK,Plantae,3838,43.0
FK,Protozoa,604,0.0
FM,Animalia,54188,15.0
FM,Bacteria,444,2.0
FM,Chromista,9621,0.0
FM,Fungi,445,4.0
FM,Plantae,26729,95.0
FM,Protozoa,16360,0.0
FO,Animalia,45939,2.0
FO,Bacteria,562,1.0
FO,Chromista,23457,1.0
FO,Fungi,1711,15.0
FO,Plantae,38818,4.0
FO,Protozoa,30088,0.0
FR,Animalia,2895717,12.0
FR,Archaea,16,0.0
FR,Bacteria,6173,112.0
FR,Chromista,151116,4.0
FR,Fungi,70387,38.0
FR,Plantae,8511675,10.0
FR,Protozoa,190148,3.0
FR,Viruses,151,0.0
GA,Animalia,72831,18.0
GA,Bacteria,17,13.0
GA,Chromista,157,11.0
GA,Fungi,459,14.0
GA,Plantae,206922,54.0
GA,Protozoa,4404,10.0
GA,Viruses,33,3200.0
GB,Animalia,15040939,3.0
GB,Archaea,453,0.0
GB,Bacteria,47277,3.0
GB,Chromista,263943,5.0
GB,Fungi,2076950,1.0
GB,Plantae,20697467,4.0
GB,Protozoa,191242,4.0
GB,Viruses,2072,0.0
GD,Animalia,18403,50.0
GD,Bacteria,8,300.0
GD,Chromista,238,3.0
GD,Fungi,527,120.0
GD,Plantae,3368,49.0
GD,Protozoa,10360,0.0
GE,Animalia,8171,59.0
GE,Bacteria,138,13700.0
GE,Chromista,45,2.0
GE,Fungi,771,37.0
GE,Plantae,23065,31.0
GE,Protozoa,23,77.0
GF,Animalia,93259,22.0
GF,Bacteria,14111,0.0
GF,Chromista,6,200.0
GF,Fungi,2539,12.0
GF,Plantae,78896,62.0
GF,Protozoa,34,6.0
GG,Animalia,17547,4.0
GG,Bacteria,2,No prior occurrences
GG,Chromista,3863,0.0
GG,Fungi,12,9.0
GG,Plantae,2298,5.0
GG,Protozoa,1714,0.0
GH,Animalia,113524,53.0
GH,Bacteria,260,19.0
GH,Chromista,5348,3.0
GH,Fungi,1819,10.0
GH,Plantae,96316,12.0
GH,Protozoa,17833,0.0
GH,Viruses,1,0.0
GI,Animalia,836,88.0
GI,Bacteria,1,No prior occurrences
GI,Chromista,3,No prior occurrences
GI,Fungi,13,117.0
GI,Plantae,248,66.0
GI,Protozoa,1,0.0
GL,Animalia,78476,4.0
GL,Archaea,77,0.0
GL,Bacteria,1889,2.0
GL,Chromista,12459,2.0
GL,Fungi,21606,30.0
GL,Plantae,30925,49.0
GL,Protozoa,48462,0.0
GM,Animalia,24942,48.0
GM,Bacteria,9,0.0
GM,Chromista,19,0.0
GM,Fungi,142,2.0
GM,Plantae,1745,13.0
GM,Protozoa,79,23.0
GN,Animalia,46509,43.0
GN,Archaea,1,0.0
GN,Bacteria,7,133.0
GN,Chromista,24,14.0
GN,Fungi,542,15.0
GN,Plantae,20135,52.0
GN,Protozoa,674,0.0
GN,Viruses,1,0.0
GP,Animalia,58046,58.0
GP,Bacteria,172,173.0
GP,Chromista,170,247.0
GP,Fungi,826,66.0
GP,Plantae,31087,35.0
GP,Protozoa,140,7.0
GP,Viruses,11,0.0
GQ,Animalia,20245,20.0
GQ,Chromista,39,8.0
GQ,Fungi,111,7.0
GQ,Plantae,46227,19.0
GQ,Protozoa,2555,0.0
GR,Animalia,168876,33.0
GR,Archaea,9,13.0
GR,Bacteria,5459,13.0
GR,Chromista,1608,15.0
GR,Fungi,14148,10.0
GR,Plantae,277350,27.0
GR,Protozoa,13974,2.0
GR,Viruses,3,0.0
GS,Animalia,84787,3.0
GS,Chromista,939,2.0
GS,Fungi,3396,5.0
GS,Plantae,14681,11.0
GS,Protozoa,5940,1.0
GT,Animalia,370363,32.0
GT,Bacteria,920,4.0
GT,Chromista,3884,0.0
GT,Fungi,2289,24.0
GT,Plantae,82024,16.0
GT,Protozoa,22732,0.0
GU,Animalia,13661,24.0
GU,Bacteria,33,94.0
GU,Chromista,58,4.0
GU,Fungi,58,9.0
GU,Plantae,2744,39.0
